Date,Guest
Tuesday Jul 12,Liam Welsh (SGSU)
Wednesday July 13,Nancy Reid
Thursday July 14,Dinuka Gunaratne (Graduate Professional Development)
Friday July 15,Chad Jankowski (Mental Health Support)
Monday July 18,Piotr Zwiernik
Tuesday July 19,Paloma Bertossi (Housing)
Wednesday July 20,Katy Wang
Thursday July 21,Meredith Franklin
Friday July 22,Boris Babic
Thursday July 28,Jeffrey Rosenthal
Friday July 29,Stanislav Volgushev
